,data_entrada,marca,modelo,ano,km,valor_fipe,valor_venda,valor_compra,renavam
0,05/11/2023,CHEVROLET,SPIN PREMIER 7L 1.8,2022/2023 ,42.525 km ,"R$ 116.832,00","R$ 99.590,00",R$ 103.790,41527605077.0
1,29/05/2023,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","42.525 km
 ","R$ 116.820,00","R$ 99.911,00",R$ 103.790,87819674360.0
2,20/01/2023,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
","42.525 km
","R$ 110.976,00","R$ 99.430,00",R$ 103.790,50706721418.0
3,19/01/2023,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","42.525 km
 ","R$ 126.704,00","R$ 95.192,00",R$ 103.790,24879274398.0
4,04/05/2023,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","42.525 km
 ","R$ 120.578,00","R$ 95.350,00",R$ 103.790,322227692.0
5,25/01/2023,CHEVROLET,SPIN PREMIER 7L 1.8,2022/2023 ,43.857 km ,"R$ 126.914,00","R$ 98.241,00",R$ 103.790,39000865062.0
6,02/11/2023,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","42.525 km
 ","R$ 123.061,00","R$ 96.132,00",R$ 103.790,18291053288.0
7,16/09/2023,CHEVROLET,SPIN PREMIER 7L 1.8,2022/2023,42.525 km,"R$ 112.381,00","R$ 99.827,00",R$ 103.790,89709459032.0
8,14/12/2023,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
","45.430 km
","R$ 109.341,00","R$ 95.539,00",R$ 103.990,61381057595.0
9,30/05/2023,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
 ","45.430 km
 ","R$ 113.153,00","R$ 96.535,00",R$ 103.990,5372353817.0
10,24/03/2023,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,2022/2022,45.430 km,"R$ 109.316,00","R$ 96.805,00",R$ 103.990,91453285296.0
11,10/06/2023,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
 ","45.430 km
 ","R$ 117.196,00","R$ 99.534,00",R$ 103.990,11613572087.0
12,16/08/2023,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,2022/2022 ,45.430 km ,"R$ 116.697,00","R$ 97.225,00",R$ 103.990,92792235998.0
13,10/05/2023,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
 ","45.430 km
 ","R$ 120.526,00","R$ 98.631,00",R$ 103.990,45444947431.0
14,03/08/2023,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
 ","45.430 km
 ","R$ 127.794,00","R$ 97.514,00",R$ 103.990,11521348390.0
15,17/09/2023,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,2021/2022 ,38.426 km ,"R$ 124.015,00","R$ 99.191,00",R$ 104.490,92877200118.0
16,06/07/2023,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,2021/2022,38.426 km,"R$ 123.146,00","R$ 98.592,00",R$ 104.490,31829117387.0
17,01/12/2023,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
","38.426 km
","R$ 109.110,00","R$ 97.226,00",R$ 104.490,43341609932.0
18,04/08/2023,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
 ","38.426 km
 ","R$ 113.127,00","R$ 95.321,00",R$ 104.490,57873468336.0
19,21/07/2023,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
 ","38.426 km
 ","R$ 111.446,00","R$ 97.029,00",R$ 104.490,97116061876.0
20,31/05/2023,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
 ","38.426 km
 ","R$ 109.510,00","R$ 98.590,00",R$ 104.490,88705446357.0
21,19/10/2023,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
 ","38.426 km
 ","R$ 113.801,00","R$ 96.373,00",R$ 104.490,19511328404.0
22,30/12/2023,FIAT,PULSE AUDACE 1.0,"2023/2023
 ","17.838 km
 ","R$ 124.687,00","R$ 96.804,00",R$ 105.490,28711850266.0
23,27/05/2023,FIAT,PULSE AUDACE 1.0,"2023/2023
 ","17.838 km
 ","R$ 126.365,00","R$ 98.990,00",R$ 105.490,73441774788.0
24,20/11/2023,FIAT,PULSE AUDACE 1.0,"2023/2023
 ","17.838 km
 ","R$ 114.281,00","R$ 97.734,00",R$ 105.490,59548284183.0
25,16/09/2023,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ","R$ 118.447,00","R$ 97.801,00",R$ 112.290,59840080645.0
26,20/08/2023,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
","20.352 km
","R$ 120.678,00","R$ 97.803,00",R$ 112.290,62290672686.0
27,19/05/2023,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,2022/2023 ,20.352 km ,"R$ 124.435,00","R$ 99.192,00",R$ 112.290,92823011391.0
28,05/12/2023,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ","R$ 123.711,00","R$ 96.753,00",R$ 112.290,87991735593.0
29,15/01/2023,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ","R$ 129.592,00","R$ 96.913,00",R$ 112.290,70693962600.0
30,26/06/2023,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,2022/2023,20.352 km,"R$ 115.758,00","R$ 95.983,00",R$ 112.290,78692189027.0
31,06/09/2023,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ","R$ 116.746,00","R$ 96.517,00",R$ 112.290,25743471246.0
