data_entrada,placa,marca,modelo,ano,km,valor_fipe,valor_venda,valor_compra,renavam
05/11/2023,BKD-3475,CHEVROLET,SPIN PREMIER 7L 1.8,2022/2023 ,42.525 km ,"R$ 116.832,00","R$ 99.590,00",R$ 103.790,41527605077.0
29/05/2023,RJQ-4937,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","42.525 km
 ","R$ 116.820,00","R$ 99.911,00",R$ 103.790,87819674360.0
20/01/2023,OGF-1129,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
","42.525 km
","R$ 110.976,00","R$ 99.430,00",R$ 103.790,50706721418.0
19/01/2023,SGQ-9844,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","42.525 km
 ","R$ 126.704,00","R$ 95.192,00",R$ 103.790,24879274398.0
04/05/2023,ZJM-6033,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","42.525 km
 ","R$ 120.578,00","R$ 95.350,00",R$ 103.790,322227692.0
25/01/2023,OCH-2918,CHEVROLET,SPIN PREMIER 7L 1.8,2022/2023 ,43.857 km ,"R$ 126.914,00","R$ 98.241,00",R$ 103.790,39000865062.0
02/11/2023,MAK-5782,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","42.525 km
 ","R$ 123.061,00","R$ 96.132,00",R$ 103.790,18291053288.0
16/09/2023,FAL-8478,CHEVROLET,SPIN PREMIER 7L 1.8,2022/2023,42.525 km,"R$ 112.381,00","R$ 99.827,00",R$ 103.790,89709459032.0
14/12/2023,NWE-1314,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
","45.430 km
","R$ 109.341,00","R$ 95.539,00",R$ 103.990,61381057595.0
30/05/2023,ZSL-4628,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
 ","45.430 km
 ","R$ 113.153,00","R$ 96.535,00",R$ 103.990,5372353817.0
24/03/2023,YCV-0226,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,2022/2022,45.430 km,"R$ 109.316,00","R$ 96.805,00",R$ 103.990,91453285296.0
10/06/2023,QVP-1489,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
 ","45.430 km
 ","R$ 117.196,00","R$ 99.534,00",R$ 103.990,11613572087.0
16/08/2023,UZJ-0074,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,2022/2022 ,45.430 km ,"R$ 116.697,00","R$ 97.225,00",R$ 103.990,92792235998.0
10/05/2023,GNW-9123,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
 ","45.430 km
 ","R$ 120.526,00","R$ 98.631,00",R$ 103.990,45444947431.0
03/08/2023,ARU-6699,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
 ","45.430 km
 ","R$ 127.794,00","R$ 97.514,00",R$ 103.990,11521348390.0
17/09/2023,SNT-4339,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,2021/2022 ,38.426 km ,"R$ 124.015,00","R$ 99.191,00",R$ 104.490,92877200118.0
06/07/2023,MPJ-1198,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,2021/2022,38.426 km,"R$ 123.146,00","R$ 98.592,00",R$ 104.490,31829117387.0
01/12/2023,FKQ-8080,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
","38.426 km
","R$ 109.110,00","R$ 97.226,00",R$ 104.490,43341609932.0
04/08/2023,SJF-3427,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
 ","38.426 km
 ","R$ 113.127,00","R$ 95.321,00",R$ 104.490,57873468336.0
21/07/2023,PWI-4422,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
 ","38.426 km
 ","R$ 111.446,00","R$ 97.029,00",R$ 104.490,97116061876.0
31/05/2023,GWF-8939,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
 ","38.426 km
 ","R$ 109.510,00","R$ 98.590,00",R$ 104.490,88705446357.0
19/10/2023,ZRB-1727,FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,"2021/2022
 ","38.426 km
 ","R$ 113.801,00","R$ 96.373,00",R$ 104.490,19511328404.0
30/12/2023,LTL-7290,FIAT,PULSE AUDACE 1.0,"2023/2023
 ","17.838 km
 ","R$ 124.687,00","R$ 96.804,00",R$ 105.490,28711850266.0
27/05/2023,QCP-4140,FIAT,PULSE AUDACE 1.0,"2023/2023
 ","17.838 km
 ","R$ 126.365,00","R$ 98.990,00",R$ 105.490,73441774788.0
20/11/2023,GBF-8185,FIAT,PULSE AUDACE 1.0,"2023/2023
 ","17.838 km
 ","R$ 114.281,00","R$ 97.734,00",R$ 105.490,59548284183.0
16/09/2023,DNN-8798,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ","R$ 118.447,00","R$ 97.801,00",R$ 112.290,59840080645.0
20/08/2023,JUU-7964,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
","20.352 km
","R$ 120.678,00","R$ 97.803,00",R$ 112.290,62290672686.0
19/05/2023,EYM-3877,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,2022/2023 ,20.352 km ,"R$ 124.435,00","R$ 99.192,00",R$ 112.290,92823011391.0
05/12/2023,BNE-6686,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ","R$ 123.711,00","R$ 96.753,00",R$ 112.290,87991735593.0
15/01/2023,SEW-6776,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ","R$ 129.592,00","R$ 96.913,00",R$ 112.290,70693962600.0
26/06/2023,WYF-0758,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,2022/2023,20.352 km,"R$ 115.758,00","R$ 95.983,00",R$ 112.290,78692189027.0
06/09/2023,YBP-6214,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ","R$ 116.746,00","R$ 96.517,00",R$ 112.290,25743471246.0
05/12/2023,GXD-7084,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
 ","42.663 km
 ","R$ 109.125,00","R$ 97.523,00",R$ 112.990,34643456621.0
23/05/2023,YWO-2576,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,2022/2023,42.663 km,"R$ 118.115,00","R$ 96.555,00",R$ 112.990,12524008447.0
27/11/2023,DXV-8815,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
 ","42.663 km
 ","R$ 119.937,00","R$ 95.175,00",R$ 112.990,81328627608.0
